Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
368;19900192117;"Journal of Adventure Education and Outdoor Learning";journal;"17540402, 14729679";0,669;Q2;27;65;99;3845;280;98;2,66;59,15;United Kingdom;Western Europe;"Routledge";"2010-2022";"Education (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2)";"Health Professions; Social Sciences"
369;19700188332;"International Journal for Academic Development";journal;"1360144X, 14701324";0,668;Q2;32;61;140;1577;248;124;1,44;25,85;United States;Northern America;"Routledge";"2010-2022";"Education (Q2)";"Social Sciences"
370;13995;"Teachers College Record";journal;"01614681, 14679620";0,668;Q2;100;1;326;59;547;325;1,30;59,00;United States;Northern America;"Teachers College Record";"1976, 1980-1981, 1985, 1988, 1996-2021";"Education (Q2)";"Social Sciences"
371;21100897232;"REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion";journal;"16964713";0,666;Q2;25;29;90;1475;208;89;2,17;50,86;Spain;Western Europe;"Universidad Autonoma de Madrid";"2018-2022";"Cultural Studies (Q1); Sociology and Political Science (Q1); Education (Q2)";"Social Sciences"
372;200147111;"International Journal of Qualitative Studies in Education";journal;"09518398";0,664;Q2;70;152;288;8028;528;284;1,50;52,82;United Kingdom;Western Europe;"Routledge";"1988-2022";"Education (Q2)";"Social Sciences"
373;21100398003;"International Journal of Information and Learning Technology";journal;"20564899, 20564880";0,662;Q2;35;32;91;1754;344;89;4,11;54,81;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2015-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
374;21100935978;"Frontiers in Education";journal;"2504284X";0,661;Q2;29;1030;967;59238;2854;951;2,61;57,51;Switzerland;Western Europe;"Frontiers Media S.A.";"2016-2022";"Education (Q2)";"Social Sciences"
375;21100899437;"Frontline Learning Research";journal;"22953159";0,660;Q2;21;8;76;483;184;71;2,15;60,38;Belgium;Western Europe;"European Association for Research on Learning and Instruction";"2013-2022";"Education (Q2)";"Social Sciences"
376;21100344997;"Research Ethics";journal;"17470161, 20476094";0,660;Q2;15;29;76;990;173;73;2,25;34,14;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2022";"Philosophy (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
377;21100887617;"Education Inquiry";journal;"20004508";0,656;Q2;23;62;76;3382;200;70;2,62;54,55;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2022";"Sociology and Political Science (Q1); Education (Q2); Public Administration (Q2)";"Social Sciences"
378;12100156320;"Mind, Brain, and Education";journal;"17512271, 1751228X";0,656;Q2;42;34;106;1769;252;91;2,23;52,03;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2022";"Developmental and Educational Psychology (Q2); Education (Q2); Experimental and Cognitive Psychology (Q2); Cognitive Neuroscience (Q3)";"Neuroscience; Psychology; Social Sciences"
379;18735;"Accountability in Research";journal;"15455815, 08989621";0,654;Q2;35;86;109;3546;304;85;2,97;41,23;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2022";"Library and Information Sciences (Q1); Education (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
380;21100899309;"Research and Practice in Technology Enhanced Learning";journal;"17937078";0,654;Q2;23;28;76;1708;264;76;3,44;61,00;Singapore;Asiatic Region;"SpringerOpen";"2015-2022";"Media Technology (Q1); Education (Q2); Management of Technology and Innovation (Q2); Social Psychology (Q2)";"Business, Management and Accounting; Engineering; Psychology; Social Sciences"
381;16705;"Journal of Emotional and Behavioral Disorders";journal;"15384799, 10634266";0,652;Q2;75;39;63;2270;190;63;2,71;58,21;United States;Northern America;"SAGE Publications Inc.";"1993-2022";"Clinical Psychology (Q2); Developmental and Educational Psychology (Q2); Education (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology; Social Sciences"
382;18156;"Computer Applications in Engineering Education";journal;"10990542, 10613773";0,651;Q2;37;131;360;6396;1334;357;4,05;48,82;United States;Northern America;"John Wiley &amp; Sons Inc.";"1992-2022";"Engineering (miscellaneous) (Q1); Computer Science (miscellaneous) (Q2); Education (Q2)";"Computer Science; Engineering; Social Sciences"
383;21100894554;"Multidisciplinary Journal of Educational Research";journal;"20142862";0,651;Q2;7;13;36;609;115;36;4,08;46,85;Spain;Western Europe;"Hipatia Press";"2018-2022";"Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2); Education (Q2)";"Psychology; Social Sciences"
384;5700191217;"European Educational Research Journal";journal;"14749041";0,649;Q2;42;87;131;5745;363;128;2,73;66,03;United Kingdom;Western Europe;"Symposium Journals Ltd";"2003, 2005, 2007-2022";"Education (Q2)";"Social Sciences"
385;4100151705;"Informatics in Education";journal;"16485831";0,649;Q2;26;31;82;1443;335;82;3,63;46,55;Lithuania;Eastern Europe;"Institute of Mathematics and Informatics";"2006-2022";"Communication (Q1); Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
386;19900191979;"Journal of Music Teacher Education";journal;"19450079, 10570837";0,649;Q2;20;29;78;816;103;60;1,21;28,14;United States;Northern America;"SAGE Publications Inc.";"1991-2022";"Music (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
387;21100220372;"International Journal of Mobile Learning and Organisation";journal;"17467268, 1746725X";0,647;Q2;27;25;74;1286;216;68;2,32;51,44;Switzerland;Western Europe;"Inderscience Publishers";"2007, 2010-2022";"Computer Science Applications (Q2); Education (Q2); E-learning (Q2)";"Computer Science; Social Sciences"
388;5800207538;"Journal of Early Childhood Literacy";journal;"14687984";0,646;Q2;45;60;107;3254;253;105;2,20;54,23;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2022";"Education (Q2)";"Social Sciences"
389;12809;"Journal of Educational Research";journal;"19400675, 00220671";0,645;Q2;86;29;143;1774;312;142;2,09;61,17;United States;Northern America;"Routledge";"1920-2022";"Education (Q2)";"Social Sciences"
390;21100897951;"Journal of Interactive Media in Education";journal;"1365893X";0,642;Q2;12;9;63;348;200;57;2,83;38,67;United Kingdom;Western Europe;"Ubiquity Press";"2018-2022";"Communication (Q1); Computer Networks and Communications (Q2); Education (Q2)";"Computer Science; Social Sciences"
391;5700166357;"Social Work Education";journal;"14701227, 02615479";0,639;Q2;46;197;274;9625;713;265;2,54;48,86;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2022";"Social Sciences (miscellaneous) (Q1); Education (Q2); Social Work (Q2)";"Social Sciences"
392;5700168957;"Educational Action Research";journal;"17475074, 09650792";0,638;Q2;43;87;184;3508;317;169;1,52;40,32;United Kingdom;Western Europe;"Routledge";"1993-2022";"Education (Q2)";"Social Sciences"
393;21100220340;"Revista de Investigacion Educativa";journal;"02124068, 19899106";0,635;Q2;22;30;91;1504;234;90;2,43;50,13;Spain;Western Europe;"Asociacion Interuniversitaria de Investigacion en Pedagogia";"2012-2022";"Education (Q2)";"Social Sciences"
394;21100900141;"Pixel-Bit, Revista de Medios y Educacion";journal;"11338482, 21717966";0,629;Q2;13;30;89;1323;278;89;3,07;44,10;Spain;Western Europe;"Universidad de Sevilla";"2018-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Education (Q2); Information Systems (Q2)";"Computer Science; Social Sciences"
395;20500195402;"Psychology Learning and Teaching";journal;"14757257";0,629;Q2;16;23;76;1009;148;58;2,27;43,87;United Kingdom;Western Europe;"SAGE Publications Inc.";"2011-2022";"Education (Q2); Psychology (miscellaneous) (Q2)";"Psychology; Social Sciences"
396;70505;"Journal of Nursing Education";journal;"01484834";0,628;Q2;71;162;507;3048;838;365;1,51;18,81;United States;Northern America;"Slack Incorporated";"1965-2022";"Nursing (miscellaneous) (Q1); Education (Q2)";"Nursing; Social Sciences"
397;21100863103;"European Journal of Higher Education";journal;"21568235, 21568243";0,627;Q2;25;56;91;2922;251;86;2,90;52,18;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2022";"Education (Q2)";"Social Sciences"
398;5700185131;"Journal of Management Education";journal;"10525629, 15526658";0,627;Q2;55;41;126;2745;258;106;1,65;66,95;United States;Northern America;"SAGE Publications Inc.";"1975-1984, 1986-2022";"Business, Management and Accounting (miscellaneous) (Q2); Education (Q2)";"Business, Management and Accounting; Social Sciences"
399;21100910579;"Curriculum Studies in Health and Physical Education";journal;"25742981, 2574299X";0,626;Q2;22;38;63;1704;150;54;2,19;44,84;United States;Northern America;"Routledge";"2018-2022";"Education (Q2); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2)";"Health Professions; Medicine; Social Sciences"
400;21100943538;"Revista Internacional de Educacion para la Justicia Social";journal;"22543139";0,623;Q2;10;24;102;1044;223;101;2,28;43,50;Spain;Western Europe;"Universidad Autonoma de Madrid";"2019-2022";"Sociology and Political Science (Q1); Education (Q2)";"Social Sciences"
401;21100901479;"Journal of Teaching and Learning for Graduate Employability";journal;"18383815";0,622;Q2;9;7;58;373;136;53;2,17;53,29;Australia;Pacific Region;"Deakin University";"2018-2022";"Education (Q2); Human Factors and Ergonomics (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Social Sciences"
402;21100203911;"European Journal of Training and Development";journal;"20469012, 20469020";0,621;Q2;65;103;134;8060;442;133;3,00;78,25;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2022";"Business, Management and Accounting (miscellaneous) (Q2); Education (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Social Sciences"
403;4700152821;"Journal of Research in Childhood Education";journal;"02568543";0,620;Q2;36;55;117;3310;281;113;2,25;60,18;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986-2022";"Developmental and Educational Psychology (Q2); Education (Q2)";"Psychology; Social Sciences"
404;18675;"Teaching Sociology";journal;"0092055X, 1939862X";0,620;Q2;41;46;84;1708;181;70;2,31;37,13;United States;Northern America;"SAGE Publications Inc.";"1986, 1990, 1996-2022";"Sociology and Political Science (Q1); Education (Q2)";"Social Sciences"
405;4700152279;"Journal of Marketing for Higher Education";journal;"15407144, 08841241";0,619;Q2;42;56;82;4380;360;82;4,14;78,21;United States;Northern America;"Routledge";"1988-1991, 1993-2022";"Education (Q2); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
406;19300157109;"Irish Educational Studies";journal;"17474965, 03323315";0,617;Q2;26;86;129;4377;290;125;2,31;50,90;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-1986, 1988-1996, 1998-2022";"Education (Q2)";"Social Sciences"
407;23288;"Topics in Early Childhood Special Education";journal;"02711214, 15384845";0,617;Q2;61;30;77;1454;176;68;2,12;48,47;United States;Northern America;"SAGE Publications Inc.";"1981-2022";"Education (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Social Sciences"
408;29543;"Australian Journal of Education";journal;"00049441, 20505884";0,614;Q2;40;24;62;1003;126;53;1,50;41,79;United States;Northern America;"SAGE Publications Inc.";"1992-2022";"Education (Q2)";"Social Sciences"
409;21100297818;"International Journal of Instruction";journal;"1694609X, 13081470";0,612;Q2;32;236;737;11802;2144;729;2,88;50,01;Switzerland;Western Europe;"Gate Association for Teaching and Education";"2013-2022";"Education (Q2)";"Social Sciences"
410;21100305243;"Australasian Journal of Early Childhood";journal;"18369391";0,610;Q2;19;30;95;1143;204;83;2,02;38,10;Australia;Pacific Region;"Early Childhood Australia";"2010-2022";"Developmental and Educational Psychology (Q2); Education (Q2)";"Psychology; Social Sciences"
411;29615;"Health Education Research";journal;"14653648, 02681153";0,610;Q2;114;34;148;949;350;148;2,45;27,91;United Kingdom;Western Europe;"Oxford University Press";"1986-2022";"Education (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Social Sciences"
412;5800179626;"Reading and Writing Quarterly";journal;"15210693, 10573569";0,608;Q2;41;51;102;3203;224;100;2,52;62,80;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2022";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
413;200147113;"Teaching Education";journal;"14701286, 10476210";0,608;Q2;37;42;75;2245;158;73;2,13;53,45;United Kingdom;Western Europe;"Routledge";"1987-1988, 1990-1995, 1998, 2000-2001, 2003-2022";"Education (Q2)";"Social Sciences"
414;12100156129;"Learning Disabilities Research and Practice";journal;"15405826, 09388982";0,607;Q2;28;24;70;1545;136;61;1,78;64,38;United States;Northern America;"Wiley-Blackwell";"2008, 2012-2022";"Developmental and Educational Psychology (Q2); Education (Q2); Health (social science) (Q2)";"Psychology; Social Sciences"
415;19700200807;"Research in Science and Technological Education";journal;"14701138, 02635143";0,607;Q2;36;67;106;3679;272;106;2,43;54,91;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2022";"Multidisciplinary (Q1); Education (Q2)";"Multidisciplinary; Social Sciences"
416;144736;"Innovative Higher Education";journal;"07425627, 15731758";0,606;Q2;50;59;115;2889;287;103;2,81;48,97;Netherlands;Western Europe;"Springer Netherlands";"1983-2002, 2004-2022";"Education (Q2)";"Social Sciences"
417;29274;"Journal of Geography";journal;"17526868, 00221341";0,606;Q2;36;14;71;808;174;64;2,40;57,71;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1902-2022";"Earth-Surface Processes (Q2); Education (Q2); Geography, Planning and Development (Q2)";"Earth and Planetary Sciences; Social Sciences"
418;5600152817;"Journal of Research in Special Educational Needs";journal;"14713802";0,606;Q2;32;42;98;2020;232;94;1,85;48,10;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2007-2022";"Education (Q2)";"Social Sciences"
419;24472;"Children and Society";journal;"09510605, 10990860";0,605;Q2;65;136;145;7104;366;141;2,17;52,24;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2022";"Education (Q2); Health (social science) (Q2); Social Work (Q2); Life-span and Life-course Studies (Q3)";"Social Sciences"
420;21100897500;"Education Sciences";journal;"22277102";0,605;Q2;40;937;1505;52051;5313;1477;3,66;55,55;Switzerland;Western Europe;"MDPI AG";"2011-2022";"Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2); Developmental and Educational Psychology (Q2); Education (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Public Administration (Q2)";"Computer Science; Health Professions; Psychology; Social Sciences"
421;14310;"Educational Studies";journal;"03055698, 14653400";0,605;Q2;50;112;200;6025;445;200;1,99;53,79;United Kingdom;Western Europe;"Routledge";"1975-2022";"Education (Q2)";"Social Sciences"
422;19900192134;"Decision Sciences Journal of Innovative Education";journal;"15404609, 15404595";0,604;Q2;26;21;65;864;144;61;2,37;41,14;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2011-2022";"Business, Management and Accounting (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q2); Education (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
423;16723;"Journal of Intellectual and Developmental Disability";journal;"13668250, 14699532";0,604;Q2;61;53;135;2331;349;130;1,96;43,98;United Kingdom;Western Europe;"Informa Healthcare";"1970-2015, 2017-2022";"Arts and Humanities (miscellaneous) (Q1); Education (Q2); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2)";"Arts and Humanities; Medicine; Psychology; Social Sciences"
424;19700200808;"Curriculum Journal";journal;"09585176, 14693704";0,603;Q2;43;60;124;3072;274;112;1,75;51,20;United Kingdom;Western Europe;"John Wiley and Sons Inc.";"1990-2022";"Education (Q2)";"Social Sciences"
425;19700169951;"International Journal of Testing";journal;"15305058, 15327574";0,602;Q2;24;18;38;918;75;37;1,95;51,00;United Kingdom;Western Europe;"Routledge";"2010-2022";"Education (Q2); Modeling and Simulation (Q2); Social Psychology (Q2)";"Mathematics; Psychology; Social Sciences"
426;16100154793;"International Journal of Music Education";journal;"1744795X, 02557614";0,601;Q2;32;86;122;3894;284;119;2,57;45,28;United Kingdom;Western Europe;"SAGE Publications Ltd";"1996-2022";"Music (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
427;19700187615;"Leadership and Policy in Schools";journal;"15700763, 17445043";0,598;Q2;24;94;147;6576;233;147;1,25;69,96;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2022";"Education (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
428;21100898103;"RAUSP Management Journal";journal;"25310488";0,598;Q2;13;30;101;1559;315;90;2,11;51,97;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2022";"Business, Management and Accounting (miscellaneous) (Q2); Education (Q2)";"Business, Management and Accounting; Social Sciences"
429;5700161731;"Journal of Education for Students Placed at Risk";journal;"10824669";0,597;Q2;22;36;54;2323;143;53;2,26;64,53;United Kingdom;Western Europe;"Routledge";"2010-2022";"Education (Q2)";"Social Sciences"
430;7100153125;"Simulation in Healthcare";journal;"15592332, 1559713X";0,596;Q2;58;88;217;1640;495;207;2,13;18,64;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2006-2022";"Education (Q2); Medicine (miscellaneous) (Q2); Modeling and Simulation (Q2); Epidemiology (Q3)";"Mathematics; Medicine; Social Sciences"
431;20748;"Educational Media International";journal;"14695790, 09523987";0,593;Q2;44;18;63;837;187;62;2,47;46,50;United Kingdom;Western Europe;"Routledge";"1978-1979, 1987-2022";"Communication (Q1); Education (Q2)";"Social Sciences"
432;19700169402;"Progress in Community Health Partnerships: Research, Education, and Action";journal;"1557055X, 15570541";0,593;Q2;30;73;173;1486;190;142;0,93;20,36;United States;Northern America;"Johns Hopkins University Press";"2007-2022";"Sociology and Political Science (Q1); Education (Q2); Health (social science) (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
433;29072;"Gerontology and Geriatrics Education";journal;"02701960, 15453847";0,591;Q2;28;94;147;2983;278;130;1,63;31,73;United States;Northern America;"Routledge";"1980-2022";"Education (Q2); Geriatrics and Gerontology (Q3)";"Medicine; Social Sciences"
434;21100901675;"Women in Sport and Physical Activity Journal";journal;"10636161, 19381581";0,591;Q2;11;18;53;962;150;48;2,26;53,44;United States;Northern America;"Human Kinetics Publishers Inc.";"2018-2022";"Gender Studies (Q1); Education (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2)";"Health Professions; Social Sciences"
435;19400158465;"Asia Pacific Journal of Education";journal;"02188791, 17426855";0,590;Q2;31;126;166;7047;386;162;2,05;55,93;United Kingdom;Western Europe;"Routledge";"2008-2022";"Education (Q2)";"Social Sciences"
436;4700152460;"Language Acquisition";journal;"15327817, 10489223";0,589;Q2;29;25;59;1852;84;57;1,10;74,08;United Kingdom;Western Europe;"Psychology Press Ltd";"1990, 1992-1993, 1995, 2005-2022";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
437;5200152840;"Intellectual and Developmental Disabilities";journal;"19349491, 19349556";0,588;Q2;70;38;140;1437;262;139;1,54;37,82;United States;Northern America;"American Association on Intellectual and Developmental Disabilities";"2007-2022";"Community and Home Care (Q1); Developmental and Educational Psychology (Q2); Education (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Nursing; Psychology; Social Sciences"
438;21100215706;"International Journal of Doctoral Studies";journal;"15568873, 15568881";0,588;Q2;31;22;110;1607;220;110;1,96;73,05;United States;Northern America;"Informing Science Institute";"2010-2022";"Education (Q2)";"Social Sciences"
439;5700178973;"International Journal of Bilingualism";journal;"13670069";0,587;Q2;59;88;253;5226;511;246;1,85;59,39;United Kingdom;Western Europe;"SAGE Publications Ltd";"1997-2022";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
440;144643;"Learning Organization";journal;"09696474";0,587;Q2;62;52;140;2918;365;129;2,23;56,12;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1994-2022";"Education (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Social Sciences"
441;18400156722;"Research in Comparative and International Education";journal;"17454999";0,587;Q2;23;41;81;2747;186;76;2,24;67,00;United Kingdom;Western Europe;"Symposium Journals Ltd";"2009-2022";"Education (Q2)";"Social Sciences"
442;145159;"Journal of Deaf Studies and Deaf Education";journal;"14657325, 10814159";0,584;Q2;69;48;116;1576;238;116;2,00;32,83;United Kingdom;Western Europe;"Oxford University Press";"2004-2022";"Education (Q2); Speech and Hearing (Q2)";"Health Professions; Social Sciences"
443;144811;"International Journal of Construction Education and Research";journal;"15503984";0,583;Q2;23;40;67;1761;155;58;2,15;44,03;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004, 2006-2022";"Building and Construction (Q2); Education (Q2)";"Engineering; Social Sciences"
444;21100464750;"English Teaching and Learning";journal;"10237267";0,579;Q2;11;38;70;1890;171;67;2,10;49,74;Taiwan;Asiatic Region;"National Taiwan Normal University";"2015-2022";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
445;1000147118;"Journal of Academic Ethics";journal;"15701727";0,579;Q2;26;51;85;3035;214;82;2,28;59,51;Netherlands;Western Europe;"Springer Netherlands";"2003, 2005-2022";"Arts and Humanities (miscellaneous) (Q1); Philosophy (Q1); Sociology and Political Science (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
446;21100897051;"Journal of Public Affairs Education";journal;"23289643, 15236803";0,578;Q2;28;31;95;1352;209;70;2,21;43,61;United States;Northern America;"Taylor and Francis Ltd.";"1998-2022";"Education (Q2); Public Administration (Q2)";"Social Sciences"
447;24418;"Journal of Geoscience Education";journal;"10899995";0,576;Q2;41;66;104;4010;303;76;2,42;60,76;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2022";"Earth and Planetary Sciences (miscellaneous) (Q2); Education (Q2)";"Earth and Planetary Sciences; Social Sciences"
448;200147103;"Literacy";journal;"17414350";0,576;Q2;30;36;80;1662;158;69;1,77;46,17;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2022";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
449;11700154505;"Journal of Hospitality, Leisure, Sport and Tourism Education";journal;"14738376";0,575;Q2;34;44;133;2788;556;133;4,48;63,36;United Kingdom;Western Europe;"Oxford Brookes University";"2008-2022";"Education (Q2); Tourism, Leisure and Hospitality Management (Q2)";"Business, Management and Accounting; Social Sciences"
450;19700187606;"Roeper Review";journal;"1940865X, 02783193";0,575;Q2;44;29;90;1111;140;53;1,72;38,31;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1978-2022";"Developmental and Educational Psychology (Q2); Education (Q2)";"Psychology; Social Sciences"
451;12833;"Journal of Psychoeducational Assessment";journal;"15575144, 07342829";0,572;Q2;56;73;225;3590;453;225;1,93;49,18;United States;Northern America;"SAGE Publications Inc.";"1983-2022";"Clinical Psychology (Q2); Education (Q2); Psychology (miscellaneous) (Q2)";"Psychology; Social Sciences"
452;21101040697;"Russian Language Studies";journal;"26188171, 26188163";0,570;Q2;4;32;86;689;43;84;0,48;21,53;Russian Federation;Eastern Europe;"RUDN University";"2018-2022";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
453;24052;"College Composition and Communication";journal;"0010096X";0,568;Q2;39;43;67;1915;57;49;0,74;44,53;United States;Northern America;"National Council of Teachers of English";"2004-2022";"Linguistics and Language (Q1); Literature and Literary Theory (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
454;18400156720;"Policy Futures in Education";journal;"14782103";0,568;Q2;25;107;214;5170;482;198;1,97;48,32;United Kingdom;Western Europe;"Symposium Journals Ltd";"2009-2022";"Education (Q2)";"Social Sciences"
455;5800179611;"Teacher Development";journal;"13664530, 17475120";0,568;Q2;31;38;110;2176;190;110;1,62;57,26;United Kingdom;Western Europe;"Routledge";"1997-2022";"Education (Q2)";"Social Sciences"
456;12308;"Journal of Social Work Education";journal;"10437797, 21635811";0,564;Q2;63;135;254;5585;495;235;1,76;41,37;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2022";"Education (Q2); Social Sciences (miscellaneous) (Q2); Social Work (Q2)";"Social Sciences"
457;16400154714;"British Journal of Religious Education";journal;"17407931, 01416200";0,561;Q2;29;50;126;2012;177;112;1,42;40,24;United Kingdom;Western Europe;"Routledge";"1978-2022";"Religious Studies (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
458;21100199856;"Journal of Information Technology Education:Research";journal;"15393585, 15479714";0,560;Q2;27;25;119;2162;378;119;3,92;86,48;United States;Northern America;"Informing Science Institute";"2011-2022";"Computer Science (miscellaneous) (Q2); Education (Q2); E-learning (Q2)";"Computer Science; Social Sciences"
459;21101042013;"Journal of Educational Data Mining";journal;"21572100";0,559;Q2;7;13;32;694;95;31;2,33;53,38;United States;Northern America;"International Educational Data Mining Society";"2020-2022";"Computer Science Applications (Q2); Education (Q2); Artificial Intelligence (Q3)";"Computer Science; Social Sciences"
460;21100899439;"European Journal of Behavior Analysis";journal;"2377729X";0,558;Q2;19;12;53;635;72;47;1,14;52,92;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2022";"Education (Q2); Psychology (miscellaneous) (Q2)";"Psychology; Social Sciences"
461;19466;"Journal of Dental Education";journal;"00220337, 19307837";0,558;Q2;76;296;784;5788;1485;703;2,06;19,55;United States;Northern America;"John Wiley &amp; Sons Inc.";"1946-1947, 1949-1951, 1965-2022";"Dentistry (miscellaneous) (Q2); Education (Q2); Medicine (miscellaneous) (Q2)";"Dentistry; Medicine; Social Sciences"
462;100147337;"Journal of Education and Work";journal;"13639080, 14699435";0,558;Q2;43;54;136;2806;293;133;1,93;51,96;United Kingdom;Western Europe;"Brill Academic Publishers";"2005-2022";"Education (Q2); Organizational Behavior and Human Resource Management (Q2); Public Administration (Q2)";"Business, Management and Accounting; Social Sciences"
463;21100886521;"Action in Teacher Education";journal;"21586098, 01626620";0,557;Q2;28;25;88;1237;127;74;1,35;49,48;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2022";"Education (Q2)";"Social Sciences"
464;21100825549;"Arts Education Policy Review";journal;"19404395, 10632913";0,557;Q2;28;41;84;1767;113;83;1,41;43,10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2022";"Visual Arts and Performing Arts (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
465;21100447810;"International Journal for Lesson and Learning Studies";journal;"20468261, 20468253";0,557;Q2;21;31;79;1065;130;78;1,68;34,35;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2022";"Education (Q2)";"Social Sciences"
466;21100915697;"Journal of Special Education Technology";journal;"23813121, 01626434";0,557;Q2;39;76;79;2909;219;79;2,77;38,28;United States;Northern America;"SAGE Publications Inc.";"1996-2022";"Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
467;19400156804;"Qualitative Research Journal";journal;"14480980, 14439883";0,557;Q2;21;42;112;2084;283;106;1,44;49,62;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2006-2022";"Education (Q2); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
468;144745;"Educational Research and Evaluation";journal;"17444187, 13803611";0,556;Q2;42;22;45;1011;74;37;1,29;45,95;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995, 1997, 2004-2020, 2022";"Education (Q2)";"Social Sciences"
469;24169;"Journal of Chemical Education";journal;"19381328, 00219584";0,555;Q2;95;508;1700;19421;4738;1697;2,83;38,23;United States;Northern America;"American Chemical Society";"1924-2022";"Chemistry (miscellaneous) (Q2); Education (Q2)";"Chemistry; Social Sciences"
